"lCompanyID","CompanyName","StreetAddress","Trifecta","ShopStatus","strInstallationKey","TenantID","ExternalID","SMS","lCommunityID"
C8AB814E-4E8B-44F0-89F2-E3B419CFA966,G&R Auto Repair,617 2nd St,NapaTracs-UD-7090318,Offline,ED2342E1-A63B-4CAB-BB2C-93EE5BBFB25E,,7090318,NapaTracs,UD
C8AB814E-4E8B-44F0-89F2-E3B419CFA966,G&R Auto Repair,617 2nd St,NapaTracs-UD-90318,Offline,ED2342E1-A63B-4CAB-BB2C-93EE5BBFB25E,,90318,NapaTracs,UD
C8B71BC5-33D8-4E65-8B59-B4E3F2BCB87D,NEIGHBORHOOD AUTO & COACH,1500 State Hwy Rte 6,ROWriter-CustomerLink-15014,Active,B416A17B-FEC4-410E-8CA6-C0E6AED6B3B8,,15014,ROWriter,CustomerLink
C8B71BC5-33D8-4E65-8B59-B4E3F2BCB87D,NEIGHBORHOOD AUTO & COACH,1500 State Hwy Rte 6,ROWriter-CustomerLink-7015014,Active,B416A17B-FEC4-410E-8CA6-C0E6AED6B3B8,,7015014,ROWriter,CustomerLink
C8BBCBE3-8AF0-46F1-AA3C-FE9C73B9A683,Heartland Tire - Bloomington,7101 W Old Shakopee Rd,ProtractorNET-ARC-05c477800cd849759fd41e1c92a0a62e,Active,22236E64-5E83-4A10-B9B1-BFB2114B7C86,,05c477800cd849759fd41e1c92a0a62e,ProtractorNET,ARC
C8BBCBE3-8AF0-46F1-AA3C-FE9C73B9A683,Heartland Tire - Bloomington,7101 W Old Shakopee Rd,ProtractorNET-ARC-ce7e1c7bb38d401eb73b743116ee29f8,Active,22236E64-5E83-4A10-B9B1-BFB2114B7C86,,ce7e1c7bb38d401eb73b743116ee29f8,ProtractorNET,ARC
C8BD4D91-1818-47A2-B366-2F4FE006DB9F,B-Right Automotive,8415 Kingston Pike,Mitchell1-UD-,Offline,19FA01B8-0CB1-440E-8C6E-6E55AE60E7EE,,,Mitchell1,UD
C8BD4D91-1818-47A2-B366-2F4FE006DB9F,B-Right Automotive,8415 Kingston Pike,Mitchell1-UD-44833,Offline,19FA01B8-0CB1-440E-8C6E-6E55AE60E7EE,,44833,Mitchell1,UD
C8BD4D91-1818-47A2-B366-2F4FE006DB9F,B-Right Automotive,8415 Kingston Pike,Mitchell1-UD-70,Offline,19FA01B8-0CB1-440E-8C6E-6E55AE60E7EE,,70,Mitchell1,UD
C8BD4D91-1818-47A2-B366-2F4FE006DB9F,B-Right Automotive,8415 Kingston Pike,Mitchell1-UD-7044833,Offline,19FA01B8-0CB1-440E-8C6E-6E55AE60E7EE,,7044833,Mitchell1,UD
C8D0AC4B-5F69-4989-B900-6AC44A995D11,Rawbees Shop Edina,7200 York Ave S,TekMetric-Throttle-test-0003,Active,33F90B83-7B0E-4E65-9EC2-824AE55042A4,,test-0003,TekMetric,Throttle
C8E24A83-97AD-4977-A7EB-AF74E67D0ADA,CONRADS AUTO CENTER,718 3rd Ave,NapaTracs-UD-38548,Active,7BB933E1-61C3-4CEA-97CB-A8E4ED8AAD11,,38548,NapaTracs,UD
C8E24A83-97AD-4977-A7EB-AF74E67D0ADA,CONRADS AUTO CENTER,718 3rd Ave,NapaTracs-UD-7038548,Active,7BB933E1-61C3-4CEA-97CB-A8E4ED8AAD11,,7038548,NapaTracs,UD
C8F0EAE8-C615-4595-A8FC-A8EE68F0103F,CLOVERLY AUTOMOTIVE,2203 Spencerville Rd,NapaTracs-UD-33477,Offline,83A7C091-3AF3-463C-9752-E98C448E45C3,,33477,NapaTracs,UD
C8F0EAE8-C615-4595-A8FC-A8EE68F0103F,CLOVERLY AUTOMOTIVE,2203 Spencerville Rd,NapaTracs-UD-7033477,Offline,83A7C091-3AF3-463C-9752-E98C448E45C3,,7033477,NapaTracs,UD
C8FCE266-3969-489C-898F-CCAA7E1C67D7,The Garage MKG,1087 W Laketon Ave,Shopware-Carfax-3206-3116,Active,D34B9C3D-7085-4BA9-A77C-D63B76FFBB26,3206,3116,Shopware,Carfax
C9125710-CE19-40EC-859D-FEE0E5560DAE,Red River Auto,3149 E University Dr,AllData-UD-42146,Active,45378FBA-9207-4EF9-94D2-F1479E6D8451,,42146,AllData,UD
C9125710-CE19-40EC-859D-FEE0E5560DAE,Red River Auto,3149 E University Dr,AllData-UD-7042146,Active,45378FBA-9207-4EF9-94D2-F1479E6D8451,,7042146,AllData,UD
C91D0AEE-DB22-4AE8-B98A-538923040B70,RODI TRANSMISSION SERVICE,2612 NW 27th Ave,Invomax_NG-UD-7080052,Active,C8D79A59-F169-4459-8478-2ED97028A413,,7080052,Invomax_NG,UD
C91D0AEE-DB22-4AE8-B98A-538923040B70,RODI TRANSMISSION SERVICE,2612 NW 27th Ave,Invomax_NG-UD-80052,Active,C8D79A59-F169-4459-8478-2ED97028A413,,80052,Invomax_NG,UD
C928FFB5-3725-4F4A-8F90-387E23976BEF,Aarons Auto Pro,845 S 500 W,NapaEnterprise-Carfax-60889,Active,E82C9272-D69D-4BA5-8A5E-0A079B45560D,,60889,NapaEnterprise,Carfax
C928FFB5-3725-4F4A-8F90-387E23976BEF,Aarons Auto Pro,845 S 500 W,NapaEnterprise-Carfax-7060889,Active,E82C9272-D69D-4BA5-8A5E-0A079B45560D,,7060889,NapaEnterprise,Carfax
C96A26FD-6ED9-4C4F-A1C8-34600ACC55C9,Godwin Lukoil,276 Godwin Ave,Invomax_NG-Carfax-7072483,Active,4F6F5C2D-0E2F-4A68-8DE8-7EBEE37E929E,,7072483,Invomax_NG,Carfax
C96A26FD-6ED9-4C4F-A1C8-34600ACC55C9,Godwin Lukoil,276 Godwin Ave,Invomax_NG-Carfax-72483,Active,4F6F5C2D-0E2F-4A68-8DE8-7EBEE37E929E,,72483,Invomax_NG,Carfax
C975A934-5D93-4037-8E5D-7E31100A9548,Autolab,4000 S Broadway,ManagerSE-UD-7072086,Offline,B1FD0912-719E-41B6-B6ED-A2816C792E15,,7072086,ManagerSE,UD
C975A934-5D93-4037-8E5D-7E31100A9548,Autolab,4000 S Broadway,ManagerSE-UD-72086,Offline,B1FD0912-719E-41B6-B6ED-A2816C792E15,,72086,ManagerSE,UD
C9764581-7A16-4AC1-BD8D-E4940DE9F0CB,Blatz Automotive,7105 Highway 10 NW,AllData-UD-35432,Offline,0A38203D-1CBC-46FE-996E-1064AAB4FD73,,35432,AllData,UD
C9764581-7A16-4AC1-BD8D-E4940DE9F0CB,Blatz Automotive,7105 Highway 10 NW,AllData-UD-7035432,Offline,0A38203D-1CBC-46FE-996E-1064AAB4FD73,,7035432,AllData,UD
C9857DC0-5F3C-4B75-A4E7-698B8BA4CAE1,Christian Brothers Automotive -Cypress,13333 Grant Rd,ROWriter-UD-7082204,Offline,9647C73F-00B7-412D-AC68-F1C6DD4467BE,,7082204,ROWriter,UD
C9857DC0-5F3C-4B75-A4E7-698B8BA4CAE1,Christian Brothers Automotive -Cypress,13333 Grant Rd,ROWriter-UD-82204,Offline,9647C73F-00B7-412D-AC68-F1C6DD4467BE,,82204,ROWriter,UD
